resblock_id,resblock_name,district_name
5011000011984,万佳苑,杨浦区
5020022058234139,万兆一品街银座,闵行区
5011000013955,万兆家园(一期),闵行区
5020030973806717,万兆家园(三期),闵行区
5011000014319,万兆家园(二期)(公寓),闵行区
5011000002068,万兆家园(二期)(别墅),闵行区
5011000014858,万兆家园(五期),闵行区
5020030973806718,万兆家园(四期),闵行区
5011102207261,万兆家园金座,闵行区
509821540057821,万兆家园银座,闵行区
5011000016119,万千公寓,普陀区
5011000012056,万千大厦,普陀区
5011000003026,万华人才公寓,长宁区
5011000016606,万华小区,长宁区
5011000012407,万博家园,闵行区
5011000001681,万博欣园,闵行区
5011102206150,万和家园,金山区
5020026596211263,万和路58号,浦东新区
5011000002000,万商灯饰城,嘉定区
5011102208984,万嘉商业广场,浦东新区
5016389506370020,万嘉欣苑,浦东新区
5010429816385067,万城银座,嘉定区
5011000001766,万宇漓水花苑,松江区
5011000014902,万宇阳光苑,松江区
5011102205985,万安世家华园,金山区
5016389495337610,万安仓街18号,崇明区
5016389501104004,万安仓街1号,崇明区
5016389506370015,万安仓街8号,崇明区
5011000001425,万安公寓,虹口区
5011000000197,万安新村,金山区
5012970736497489,万安街112号,虹口区
5012970736497490,万安街116号,虹口区
5012970736497491,万安街120号,虹口区
5012970736497492,万安街124号,虹口区
5012970736497493,万安街128号,虹口区
5012970736497494,万安街132号,虹口区
5012970736497495,万安街136号,虹口区
5012970736497496,万安街140号,虹口区
5012970736497497,万安街144号,虹口区
5012970736497498,万安街150号,虹口区
5012970736497499,万安街154号,虹口区
5012970736497500,万安街158号,虹口区
5012970736497501,万安街160号,虹口区
5012970736497502,万安街168号,虹口区
5012970736497503,万安街170号,虹口区
5012970736497504,万安街182号,虹口区
5012970736497505,万安街194号,虹口区
5012970736497506,万安街198号,虹口区
5012970736497507,万安街206号,虹口区
5012970736497508,万安街214号,虹口区
5012970736497509,万安街218号,虹口区
5012970736497510,万安街222号,虹口区
5012970736497511,万安街226号,虹口区
5012970736497512,万安街230号,浦东新区
5012970736497513,万安街238号,虹口区
5012970736497514,万安街242号,虹口区
5012970736497515,万安街246号,虹口区
5012970736497516,万安街252号,虹口区
5016389371080679,万安街289号,金山区
5012970736497517,万安街290号,虹口区
5012970736497518,万安街294号,虹口区
5016389506369709,万安街299号,金山区
5016389501103220,万安街309号,金山区
5016389495337698,万安街319号,金山区
5012970736497519,万安街348号,虹口区
5012970736497520,万安街349号,虹口区
5012970736497521,万安街351号,虹口区
5017607322536133,万安街352号,浦东新区
5012970736497522,万安街353号,虹口区
5012970736497523,万安街357号,虹口区
5012970736497524,万安街360号,虹口区
509977363956047,万安街373号,虹口区
5016635435715299,万安街379号,金山区
5014280100163826,万安街385号,金山区
5012269851521275,万安街390号,浦东新区
5012970736497525,万安街398号,虹口区
5016635417605051,万安街405号,金山区
5016635417605024,万安街409号,虹口区
509977363956068,万安街411号,虹口区
5016389506369676,万安街415号,金山区
509977363956176,万安街419号,虹口区
5016389495337696,万安街425号,金山区
5011000019416,万安街433弄,金山区
5016389495337157,万安街435号,金山区
509977363956065,万安街441号,虹口区
5011000008407,万安街55弄,金山区
5012970736497526,万安街627号,虹口区
5012970736497527,万安街822号,虹口区
509821540319447,万安街840弄,虹口区
5016389495337369,万安街86号,浦东新区
5012970736497528,万安街902号,虹口区
5012970736497529,万安街906号,虹口区
5012970736497530,万安街908号,虹口区
5011000007506,万安街94弄,浦东新区
5016389495337953,万安街988号,金山区
5016389506369829,万安街994号,金山区
5016389545929957,万安街998号,金山区
5011000000554,万安路1314弄,静安区
5011000000220,万安路150弄,浦东新区
5012970736497531,万安路265号,虹口区
509821540319458,万安路280号,虹口区
5016389543047602,万安路288号,金山区
5012970736497532,万安路292号,虹口区
5013514022858605,万安路296号,虹口区
5012970736497533,万安路333号,虹口区
5011000006694,万安路346弄,虹口区
5015033184825926,万安路352号,虹口区
5016389543047743,万安路354号,虹口区
5010365452168689,万安路356号,虹口区
5016389495337045,万安路358号,虹口区
5016389558274218,万安路360号,虹口区
5010340905267864,万安路365号,虹口区
5011000000568,万安路372号,虹口区
509821540057456,万安路374号,虹口区
5011102209875,万安路376号,虹口区
5011000003021,万安路381号,虹口区
5016389495337671,万安路383号,金山区
508730707504549,万安路385号,虹口区
5012242853311116,万安路390号,虹口区
5012970736497534,万安路480号,虹口区
5012970736497535,万安路521号,虹口区
5012970736497536,万安路537号,虹口区
5020026741122062,万安路552号,虹口区
5012970736497537,万安路555号,虹口区
509821540058033,万安路568号,虹口区
5012970736497538,万安路669弄85号,虹口区
5014648357432971,万安路956号,虹口区
5016389545929994,万安路958号,虹口区
5016389543047700,万安路960号,虹口区
5020020451448821,万安路968号,虹口区
5011102209810,万安路970号,虹口区
5011000000585,万安路974号,虹口区
5013173807657025,万安路977号,虹口区
5012224524725910,万安路978号,虹口区
5011000007360,万安路979弄,虹口区
5011000015713,万宜坊,黄浦区
5011000013713,万宝国际商务中心,长宁区
509977363955935,万家新天地商都,浦东新区
5011000003618,万富汇,浦东新区
5011000009823,万寿别墅,青浦区
5011102206091,万寿新村(金山),金山区
5011000005326,万寿新村(青浦),青浦区
5012970736497657,万寿街12号,虹口区
5012970736497658,万寿街8号,虹口区
5011000018990,万寿路57弄,青浦区
5011000010775,万峰嘉苑,虹口区
5011000012682,万峰小区,虹口区
5011000015861,万峰梦湖苑,虹口区
5011000012475,万康家园,虹口区
5020032308231535,万得大厦,浦东新区
509821540319259,万德企业中心,虹口区
5011000004631,万昇家园,宝山区
5011000004310,万昌大厦,杨浦区
5011000003634,万春小区,静安区
5011000014525,万春苑,金山区
5011000005749,万春街156弄,静安区
5011000018214,万景园,普陀区
5011000002437,万汇公寓,杨浦区
5011000009073,万泰公寓,闵行区
5011000015602,万泰国际,静安区
5011000009590,万泰花园,闵行区
5020021105836742,万渡航路2626号2幢,徐汇区
5011930405712190,万源创意园,静安区
5011000012235,万源城E1,闵行区
5011000011329,万源城尚郡,闵行区
5011000003860,万源城御溪(公寓),闵行区
5011000010841,万源城御溪(别墅),闵行区
5011000005399,万源城御璄,闵行区
5011000013869,万源城朗郡,闵行区
5011000010264,万源城逸郡,闵行区
5011000017814,万源晶典,浦东新区
5011000015009,万源杰座,浦东新区
5012970736497659,万源路2739号,闵行区
5012970736497660,万源路550号,闵行区
5011000002823,万源酒店公寓,浦东新区
5011102209387,万灵谷花园,静安区
5011000011018,万登花苑,杨浦区
5011000014936,万盛花园,普陀区
5011000001269,万盛金邸,金山区
5011000019962,万祥兴隆苑,浦东新区
5011000002267,万祥金邸,金山区
5011000011751,万祥馨苑,浦东新区
5011102207246,万科2049创意汇五玠坊,浦东新区
5011000002148,万科VMO花园广场,闵行区
5011063202163,万科七宝国际,闵行区
5011102206648,万科云间传奇,松江区
5011000009636,万科五玠坊,浦东新区
5011102207264,万科五玠坊(办公楼),浦东新区
5011000010181,万科优诗美地,闵行区
5011000017605,万科假日风景(公寓),闵行区
5011000005038,万科假日风景(别墅),闵行区
5011000019910,万科公园大道,闵行区
5011000017818,万科兰乔圣菲,闵行区
5011000002744,万科凭栏苑,闵行区
5011000017381,万科华尔兹,徐汇区
5020033616262968,万科启宸,宝山区
5011000017696,万科四季花城,宝山区
5011102210103,万科四季花城(别墅),宝山区
5011000001987,万科城,闵行区
5011000018313,万科城市花园,闵行区
5011000014673,万科城花新园,闵行区
5013985645627963,万科天空之城,青浦区
5011102208704,万科安亭新镇,嘉定区
5011000001091,万科尚景苑(公寓),青浦区
5011102207640,万科尚景苑(别墅),青浦区
5011000010207,万科尚源(公寓),青浦区
5011000011379,万科尚源(别墅),青浦区
5011000004200,万科广场,长宁区
5011000016300,万科提香别墅,浦东新区
5011000014091,万科新里程,浦东新区
5011000005174,万科早城(一期),闵行区
5011000019957,万科早城(二期),闵行区
5011102207681,万科时一区,闵行区
5011102207647,万科时一区(写字楼),闵行区
5020031697611183,万科晶源(公寓),青浦区
5011000012484,万科晶源(别墅),青浦区
5011000019025,万科有山,青浦区
5011000013701,万科朗润园,闵行区
5011000010974,万科桂馨苑,闵行区
5011000000147,万科梦想派,松江区
5011000004013,万科海上传奇,浦东新区
5011102207320,万科海上传奇(三期),浦东新区
5011000009225,万科清林径,浦东新区
5011000012213,万科燕南园,闵行区
5011000011782,万科琥珀臻园,宝山区
5011000014874,万科琥珀郡园,宝山区
5011000004510,万科白马花园(公寓),松江区
5011000015281,万科白马花园(别墅),松江区
5011000003426,万科笠泽苑,闵行区
5011000004278,万科第五园,浦东新区
5011000005031,万科红,青浦区
5011000018405,万科红人馆,松江区
5011000017804,万科红郡,闵行区
5011000019510,万科翡翠公园,浦东新区
5011000003430,万科翡翠别墅,闵行区
5011000001921,万科翡翠滨江(一期),浦东新区
5011062964620,万科翡翠雅宾利,静安区
5011000014748,万科荷花苑,闵行区
5011000014861,万科蓝山,浦东新区
5010752740307163,万科金域澜湾,浦东新区
5011000013762,万科金色公馆,浦东新区
5011000001261,万科金色华亭,松江区
5011000014516,万科金色城品,浦东新区
5011000014957,万科金色城市,浦东新区
5011000012418,万科金色里程(公寓),浦东新区
5011000003469,万科金色里程(别墅),浦东新区
5011000013367,万科金色雅筑,浦东新区
5011000002786,万科金色领域,嘉定区
5011000010441,万科锦源(公寓),青浦区
5011000004270,万科锦源(别墅),青浦区
5011000017318,万科阳光苑,闵行区
5011000005053,万科香溪苑,闵行区
5011000014238,万科魅力之城,闵行区
5011000003038,万立城,嘉定区
5011102209253,万立城(商业类),嘉定区
5011000015953,万航公寓,静安区
5011000017969,万航小区,长宁区
5012970736497539,万航渡后路45号,普陀区
5012970736497540,万航渡后路65号,普陀区
5012970736497541,万航渡后路71号,普陀区
5011000005198,万航渡后路85号,普陀区
5011000000289,万航渡后路87号,普陀区
5011000006238,万航渡后路93号,普陀区
5011000005839,万航渡后路95号,普陀区
5011000004649,万航渡路105号,静安区
5012970736497543,万航渡路113号,静安区
5016483824184990,万航渡路115号,静安区
5012970736497544,万航渡路119-121号,静安区
5012970736497545,万航渡路119号,静安区
5012970736497546,万航渡路11号,静安区
5012970736497547,万航渡路121号,静安区
5012970736497548,万航渡路123号,静安区
5011000007626,万航渡路1242弄,长宁区
5012970736497549,万航渡路1274号,长宁区
5012970736497550,万航渡路1280号,长宁区
5012970736497551,万航渡路1304号,长宁区
5012970736497552,万航渡路1306号,长宁区
509821540057363,万航渡路130弄,静安区
5011000006798,万航渡路1312弄,长宁区
5012970736497553,万航渡路133号,静安区
5012970736497554,万航渡路135号,静安区
5012970736497555,万航渡路137号,静安区
5011000002793,万航渡路1384弄,长宁区
5012970736497556,万航渡路139号,静安区
5011000011099,万航渡路140弄,静安区
509977363955786,万航渡路1425号,长宁区
5016635237248772,万航渡路1427号,长宁区
5011000006143,万航渡路1468弄,长宁区
5012970736497557,万航渡路1475号,长宁区
5012970736497558,万航渡路1481号,长宁区
5012970736497559,万航渡路1483号,长宁区
5011000007212,万航渡路1489号,长宁区
5011000006607,万航渡路1490号,长宁区
5011000007635,万航渡路1496号,长宁区
5011000003088,万航渡路1502号,长宁区
509977363955815,万航渡路1508号,长宁区
5011000007843,万航渡路1508弄,长宁区
5011102207970,万航渡路1514号,长宁区
5012970736497560,万航渡路1516号,长宁区
5012970736497561,万航渡路1523号,长宁区
5012970736497562,万航渡路1538号,长宁区
5011000016997,万航渡路1575号,长宁区
5012970736497563,万航渡路172号,静安区
5011000005673,万航渡路174-190号(双),静安区
5012970736497564,万航渡路176号,静安区
5012970736497565,万航渡路1号,静安区
5011000004662,万航渡路2030弄,长宁区
5012970736497566,万航渡路2152号,长宁区
5012970736497567,万航渡路215号,静安区
5017568812511773,万航渡路218号,静安区
5011000010563,万航渡路225号,静安区
5011000011455,万航渡路229弄,静安区
5012970736497569,万航渡路233号,静安区
5012970736497570,万航渡路235号,静安区
5012970736497571,万航渡路237号,静安区
5012970736497572,万航渡路2408号,长宁区
5012970736497573,万航渡路2433号,长宁区
5012970736497575,万航渡路2453号,长宁区
5011000005560,万航渡路2486号,长宁区
5011000005971,万航渡路2490号,长宁区
5011000010500,万航渡路249弄,静安区
5011000007023,万航渡路2502号,长宁区
5012970736497576,万航渡路2526号,长宁区
5011000007041,万航渡路2532号,长宁区
5011000007444,万航渡路2534号,长宁区
5011000008598,万航渡路2538号,长宁区
5011000007980,万航渡路2540号,长宁区
5010751479394630,万航渡路2544号,长宁区
5011000007199,万航渡路2546号,长宁区
5011000003062,万航渡路2550号,长宁区
5011000010364,万航渡路255号,静安区
5011000007797,万航渡路2565弄,长宁区
5012970736497577,万航渡路2579号,长宁区
5012970736497578,万航渡路265号,静安区
5012970736497579,万航渡路269弄3号,静安区
5012970736497580,万航渡路273号,静安区
5012970736497581,万航渡路280号,静安区
5012970736497582,万航渡路282号,静安区
509821540057818,万航渡路284弄,静安区
5013921612499684,万航渡路292-294号,静安区
5015576302366815,万航渡路314号,静安区
5011000009512,万航渡路320弄,静安区
5011000006704,万航渡路332弄,静安区
5011000006279,万航渡路33号,普陀区
5011000003755,万航渡路342号,静安区
509821540057713,万航渡路391号,静安区
5011000001550,万航渡路393号,静安区
5011000011307,万航渡路393弄,静安区
5012970736497585,万航渡路397号,静安区
5012970736497586,万航渡路419号,静安区
5012970736497587,万航渡路431号,静安区
5011000008105,万航渡路433弄,静安区
5012970736497588,万航渡路442号,静安区
5011000005741,万航渡路443-459号(单),静安区
5012970736497590,万航渡路450号,静安区
5011000005711,万航渡路455弄,静安区
5011000005624,万航渡路457-467号(单),静安区
5012970736497595,万航渡路469号,静安区
5012970736497596,万航渡路471号,静安区
5012970736497597,万航渡路475号,静安区
5012970736497598,万航渡路487号,静安区
5011000005955,万航渡路49弄,静安区
5011000007961,万航渡路50号,静安区
5011000008828,万航渡路523弄,静安区
5012970736497599,万航渡路529号,静安区
5012970736497600,万航渡路550号,长宁区
5012970736497601,万航渡路5512号,静安区
5011000009742,万航渡路564号,静安区
5012970736497602,万航渡路564号乙,长宁区
5012970736497603,万航渡路586号,静安区
5012970736497604,万航渡路589号,静安区
5012970736497605,万航渡路593号,静安区
5012970736497606,万航渡路5号,静安区
5020037358897532,万航渡路616号,静安区
5012970736497607,万航渡路618号,静安区
5012970736497609,万航渡路626号,静安区
5012970736497610,万航渡路635号,静安区
5011000002551,万航渡路639号,静安区
5012970736497611,万航渡路660号,静安区
5020020776542948,万航渡路663-687号,静安区
5012970736497612,万航渡路666号,静安区
5012970736497613,万航渡路677号,静安区
5012970736497614,万航渡路681号,静安区
5011000006918,万航渡路682号,静安区
5012970736497615,万航渡路683号,静安区
5018202303170965,万航渡路693号,静安区
5012970736497616,万航渡路6号,静安区
5020030105108328,万航渡路712号,静安区
5011000003527,万航渡路713号,静安区
5011000018433,万航渡路733号,静安区
5011000005731,万航渡路749弄,静安区
5011000010081,万航渡路759弄,静安区
5012970736497620,万航渡路763号,静安区
5020020424190603,万航渡路764号,静安区
5020020424190790,万航渡路768号,静安区
5015957802126929,万航渡路778号,静安区
5012970736497622,万航渡路7号,静安区
5012970736497623,万航渡路81号,静安区
5012970736497624,万航渡路829号,静安区
5012970736497626,万航渡路849号,静安区
5012970736497627,万航渡路850弄6号,静安区
5012970736497628,万航渡路858号,静安区
5012970736497630,万航渡路858弄18号,静安区
5012970736497631,万航渡路858弄26号,静安区
5012970736497632,万航渡路858弄32号,静安区
5012970736497633,万航渡路858弄38号,静安区
5012970736497634,万航渡路858弄40号,静安区
5012970736497635,万航渡路858弄6号,静安区
5011000005757,万航渡路87号,普陀区
5011000016867,万荣小区,静安区
5011000003011,万荣新苑,静安区
5020021507542675,万荣路1068号,静安区
5012970736497640,万荣路106号,静安区
5020021507545429,万荣路1070号,静安区
5012970736497641,万荣路107号,静安区
5012970736497642,万荣路109号,静安区
5012970736497643,万荣路110号,静安区
5012970736497644,万荣路111号,静安区
5012970736497645,万荣路115号,静安区
5012970736497646,万荣路125号,静安区
5012970736497647,万荣路12号,静安区
5012970736497648,万荣路16号,静安区
5012970736497649,万荣路192号,静安区
5012970736497650,万荣路196号,静安区
5012970736497651,万荣路198号,静安区
5020025611074417,万荣路227号,静安区
5016389506370483,万荣路32号,静安区
5012970736497652,万荣路377号,静安区
5020027474334803,万荣路48号,静安区
5011000003478,万荣路79号,静安区
509977363955743,万荣路83号,静安区
5012970736497655,万荣路959号,静安区
5012970736497656,万荣路96号,静安区
5011000017515,万荣阳光苑,静安区
5020022443094909,万街303创意园,徐汇区
5011000007623,万裕街78弄,黄浦区
5011000003763,万象园,徐汇区
5011000012225,万象苑,徐汇区
5011000012567,万豪公寓,静安区
5011000003756,万达商业广场,杨浦区
