公立学校,城区,经度,纬度,梯队（1表示一梯队，以此类推）
上海市杨浦区水丰路小学,杨浦区,121.533965,31.289012,2
上海市杨浦区齐齐哈尔路第一小学,杨浦区,121.5221,31.265279,2
上海市虹口实验学校(小学),虹口区,121.492703,31.290948,2
上海市晋元高级中学附属学校（分部）,普陀区,121.394575,31.278668,2
上海市普陀区中山北路第一小学,普陀区,121.423434,31.251382,2
上海市长宁区复旦小学,长宁区,121.426795,31.204701,3
上海市徐汇区建襄小学,徐汇区,121.455594,31.210451,1
上海市徐汇区求知小学,徐汇区,121.423662,31.167308,2
上海师范专科学校附属小学,黄浦区,121.477649,31.203811,2
上海市黄浦区卢湾一中心小学,黄浦区,121.469168,31.213755,2
上海市黄浦区复兴东路第三小学,黄浦区,121.482416,31.222904,2
上海市黄浦区第一中心小学,黄浦区,121.49808,31.221634,2
上海市黄浦区徽宁路第三小学,黄浦区,121.488195,31.213027,2
上海市黄浦区曹光彪小学,黄浦区,121.467897,31.237119,2
上海师范大学附属卢湾实验小学,黄浦区,121.477693,31.210537,2
上外-黄浦外国语小学,黄浦区,121.489179,31.201913,1
上海市黄浦区蓬莱路第二小学,黄浦区,121.485722,31.219863,1
上海市实验小学,黄浦区,121.481293,31.224733,1
上海市徐汇区第一中心小学,徐汇区,121.454961,31.214925,2
上海市徐汇区田林第三小学,徐汇区,121.422674,31.173219,2
上海市徐汇区园南小学,徐汇区,121.436396,31.143963,2
上海师范大学第一附属小学,徐汇区,121.413555,31.15752,2
上海市徐汇区上海小学,徐汇区,121.431465,31.140711,2
上海市徐汇区汇师小学（南丹校区）,徐汇区,121.427631,31.201191,1
上海市徐汇区向阳小学,徐汇区,121.45229,31.209898,1
上海市长宁区法华镇路第三小学,长宁区,121.418008,31.20912,3
上海市长宁区适存小学,长宁区,121.365198,31.215234,2
上海市长宁区绿苑小学,长宁区,121.356533,31.213661,2
上海市建青实验学校(小学),长宁区,121.396094,31.194376,2
上海市长宁实验小学,长宁区,121.383515,31.211236,2
上海市长宁区愚园路第一小学,长宁区,121.421324,31.219706,1
上海市长宁区江苏路第五小学(昭化东路校区),长宁区,121.432072,31.216165,1
上海市长宁区江苏路第五小学(华阳路校区),长宁区,121.419444,31.224569,1
上海市黄浦区淮海中路小学,黄浦区,121.468443,31.22291,4
上海市黄浦区复兴中路第二小学,黄浦区,121.468456,31.217689,4
上海市七色花小学,黄浦区,121.46429,31.222021,4
上海市黄浦区卢湾三中心小学,黄浦区,121.471502,31.225371,4
上海市黄浦区卢湾二中心小学,黄浦区,121.458862,31.216711,1
华东师范大学附属卢湾辅读实验学校(小学),黄浦区,121.475361,31.208,4
上海市徐汇区世界小学,徐汇区,121.435037,31.210057,1
上海市位育实验学校(小学),徐汇区,121.44884,31.220065,4
上海市徐汇区启新小学,徐汇区,121.41486,31.133116,3
华东理工大学附属小学,徐汇区,121.419088,31.140133,3
上海市实验学校附属小学,徐汇区,121.424453,31.13368,3
上海交通大学附属小学,徐汇区,121.422891,31.194394,3
上海市徐汇区康宁科技实验小学,徐汇区,121.421924,31.158135,3
上海市徐汇区徐汇实验小学,徐汇区,121.448485,31.140076,3
上海市徐汇区康健外国语实验小学,徐汇区,121.409025,31.156455,2
上海师范大学第三附属实验学校(小学),徐汇区,121.433417,31.165323,2
上海市裘锦秋实验学校,黄浦区,121.460843,31.242115,3
上海市黄浦区巨鹿路第一小学,黄浦区,121.455571,31.217716,3
上海市黄浦区北京东路小学,黄浦区,121.480508,31.242055,3
上海市长宁区江苏路第五小学(长宁路校区),长宁区,121.422388,31.228389,1
上海市静安区彭浦新村第一小学,静安区,121.454159,31.31095,2
上海市静安区闸北第二中心小学,静安区,121.429282,31.28288,2
上海市教育科学研究院实验小学,徐汇区,121.459721,31.203131,4
上海市徐汇区江南新村小学,徐汇区,121.458069,31.194635,4
上海市徐汇区日晖新村小学,徐汇区,121.460117,31.197395,4
上海市徐汇区东安三村小学,徐汇区,121.441075,31.188223,4
上海市徐汇区东二小学,徐汇区,121.446336,31.185639,2
上海市徐汇区吴中路小学,徐汇区,121.417751,31.194154,4
上海市徐汇区光启小学,徐汇区,121.433808,31.185868,4
上海市徐汇区虹桥路小学,徐汇区,121.424339,31.198424,4
上海市徐汇区汇师小学（南站校区）暂名,徐汇区,121.428128,31.190404,1
上海市黄浦区中华路第三小学,黄浦区,121.493651,31.218906,4
上海市黄浦区董家渡路第二小学,黄浦区,121.491904,31.22444,4
上海市黄浦区海华小学,黄浦区,121.463528,31.204588,4
上海市黄浦区梅溪小学,黄浦区,121.484743,31.217175,4
上海市开元学校(小学),长宁区,121.414956,31.213925,4
上海市长宁区安顺路小学,长宁区,121.411816,31.202058,4
上海市长宁区愚一小学向红分校,长宁区,121.430289,31.22371,4
上海市长宁区威宁小学,长宁区,121.380149,31.210268,3
上海市长宁区新虹桥小学,长宁区,121.383614,31.204834,3
上海市西郊学校(小学),长宁区,121.356545,31.205285,3
上海市长宁区玉屏南路小学,长宁区,121.402101,31.214536,3
上海市长宁区开元小学,长宁区,121.421787,31.213655,3
上海市黄浦区四川南路小学,黄浦区,121.485685,31.232308,4
上海市黄浦学校(小学),黄浦区,121.479474,31.214961,4
上海市黄浦区新凌小学,黄浦区,121.482567,31.205053,4
上海市黄浦区回民小学,黄浦区,121.4925,31.225578,4
上海市黄浦区光明小学,黄浦区,121.489391,31.225128,4
上海市静安区闸北第一中心小学,静安区,121.471664,31.250375,2
上海市静安区第三中心小学,静安区,121.458344,31.241456,2
上海市静安区大宁国际学校（小学）,静安区,121.45545,31.303125,2
上海市长宁区虹桥机场小学,长宁区,121.348797,31.186297,4
上海市长宁区北新泾第二小学,长宁区,121.365063,31.220478,4
上海市长宁区北新泾第三小学,长宁区,121.361519,31.219063,4
上海市长宁区哈密路小学,长宁区,121.366692,31.190798,4
上海市长宁区天山第一小学,长宁区,121.400087,31.210809,2
上海市黄浦区重庆北路小学,黄浦区,121.46454,31.228013,4
上海市应昌期围棋学校(小学),黄浦区,121.477988,31.239882,4
上海市徐汇区教育学院附属实验小学,徐汇区,121.433249,31.135991,3
上海市徐汇区龙南小学,徐汇区,121.449016,31.158259,4
上海市徐汇区田林小学,徐汇区,121.416035,31.172954,4
上海市徐汇区田林第一小学,徐汇区,121.414893,31.180819,4
复旦大学附属徐汇实验学校,徐汇区,121.442444,31.181039,4
上海市徐汇区田林第四小学,徐汇区,121.421982,31.179058,2
上海市徐汇区龙华小学,徐汇区,121.446128,31.173527,4
上海市黄浦区教育学院附属中山学校(小学),黄浦区,121.472565,31.197316,3
上海市黄浦区报童小学,黄浦区,121.478604,31.23684,4
上海市黄浦区瞿溪路小学,黄浦区,121.469037,31.200899,4
上海市长宁区古北路小学,长宁区,121.39715,31.215483,4
上海市长宁区天山第二小学,长宁区,121.392138,31.210813,4
上海市长宁区长宁路小学,长宁区,121.402644,31.220683,4
上海市静安区万航渡路小学,静安区,121.42688,31.228824,2
上海市静安区教育学院附属学校(小学),静安区,121.442274,31.240676,1
上海市静安区闸北实验小学,静安区,121.442952,31.27247,1
上海市第一师范学校附属小学,静安区,121.433798,31.22847,1
上海市静安区第一中心小学,静安区,121.444414,31.232441,1
上海市普陀区长征中心小学,普陀区,121.366699,31.240888,2
上海市普陀区真如文英中心小学,普陀区,121.399788,31.25034,2
上海市徐汇区华泾小学,徐汇区,121.44728,31.128574,4
上海市徐汇区樱花园小学,徐汇区,121.408826,31.149047,4
上海体育职业学院附属小学,徐汇区,121.442396,31.134234,4
上海市徐汇区长桥第二小学,徐汇区,121.439173,31.137051,4
上海市徐汇区向阳育才小学,徐汇区,121.433567,31.151288,4
上海市徐汇区徐浦小学,徐汇区,121.456385,31.124782,4
上海市普陀区朝春中心小学,普陀区,121.402264,31.243242,2
上海市中远实验学校(小学),普陀区,121.431704,31.253575,2
上海市普陀区新普陀小学（金玉苑校区）,普陀区,121.388328,31.24236,2
上海市江宁学校（明山校区）(小学),普陀区,121.431867,31.249597,2
上海市普陀区武宁路小学,普陀区,121.418897,31.242431,2
华东师范大学附属小学（清水湾校区）,普陀区,121.408762,31.226715,1
上海棋院实验小学,静安区,121.46305,31.244553,4
上海市爱国学校(小学),静安区,121.453117,31.233006,2
上海市静安小学,静安区,121.426623,31.236472,3
上海市静安区第二中心小学,静安区,121.431133,31.23617,3
上海市静安区西康路第三小学,静安区,121.446637,31.231994,3
上海市静安区市西小学,静安区,121.436777,31.227184,3
上海市静安区威海路第三小学,静安区,121.456436,31.226715,3
上海市陈鹤琴小学,静安区,121.450968,31.225203,3
上海市静安实验小学,静安区,121.440273,31.242792,3
上海市虹口区中州路第一小学,虹口区,121.477962,31.254076,2
上海市长青学校(小学),虹口区,121.498006,31.255353,2
上海市虹口区崇明路小学,虹口区,121.480532,31.24788,2
上海市虹口区曲阳第三小学,虹口区,121.490871,31.281902,2
上海市虹口区红旗小学,虹口区,121.477369,31.30075,2
上海市虹口区广灵路小学,虹口区,121.473978,31.283387,1
上海市虹口区第三中心小学,虹口区,121.481358,31.267363,1
上海市虹口区第四中心小学,虹口区,121.484928,31.285843,1
上海市虹口区外国语第一小学,虹口区,121.463521,31.296266,3
上海市静安区闸北实验小学明德校区,静安区,121.447388,31.270016,1
上海市静安区中兴路小学,静安区,121.456534,31.254788,4
上海市大宁国际小学,静安区,121.456002,31.285351,4
上海市静安区宝山路小学,静安区,121.473151,31.255778,4
上海市静安区闸北第三中心小学,静安区,121.468173,31.255962,2
上海市静安区蕃瓜弄小学,静安区,121.456111,31.249864,4
上海市静安区育婴堂路小学,静安区,121.459436,31.257519,4
上海市静安区永兴路第二小学,静安区,121.461105,31.2534,4
上海市普陀区洵阳路小学,普陀区,121.420375,31.251444,3
上海市普陀区陆家宅小学,普陀区,121.417941,31.248632,4
上海市普陀区回民小学,普陀区,121.426104,31.239338,4
华东师范大学第四附属中学(小学),普陀区,121.38145,31.226322,3
华东师范大学附属外国语实验学校（小学部）,普陀区,121.414081,31.237052,3
上海市子长学校(小学),普陀区,121.42779,31.265479,3
上海市曹杨第二中学附属学校（分部）,普陀区,121.401199,31.237724,3
上海市普陀区沪太新村第一小学（总部）,普陀区,121.434392,31.268295,3
上海市曹杨中学附属学校(小学),普陀区,121.354669,31.23932,3
上海市静安区大宁路小学,静安区,121.450385,31.280407,4
上海戏剧学院附属静安学校,静安区,121.456237,31.244159,4
上海市杨浦区复旦科技园小学,杨浦区,121.519329,31.3343,2
上海音乐学院实验学校(小学),杨浦区,121.508442,31.332684,2
上海市杨浦区杨浦小学,杨浦区,121.521179,31.302599,2
上海理工大学附属小学,杨浦区,121.535497,31.29402,2
上海市杨浦区打虎山路第一小学,杨浦区,121.502868,31.276294,1
上海市普陀区管弄新村小学,普陀区,121.41898,31.258996,4
上海市普陀区华阴小学,普陀区,121.436693,31.265615,4
上海市普陀区真光小学,普陀区,121.375099,31.253855,4
上海市虹口区张桥路小学,虹口区,121.491294,31.269922,4
上海市虹口区第二中心小学,虹口区,121.491722,31.261042,4
上海市虹口区霍山路小学,虹口区,121.507286,31.256582,4
上海市虹口区东余杭路第一小学,虹口区,121.49229,31.254786,4
上海市虹口区第六中心小学,虹口区,121.46261,31.278879,3
上海市华东师大一附中实验小学,虹口区,121.499254,31.265625,3
上海市虹口区四川北路第一小学,虹口区,121.480066,31.261387,3
上海市虹口区凉城第三小学,虹口区,121.463611,31.298647,3
上海市虹口区第一中心小学,虹口区,121.484053,31.250774,2
上海市北郊学校(小学),虹口区,121.488307,31.277699,2
上海市静安区保德路小学,静安区,121.4496,31.317727,4
上海市静安区彭浦新村第五小学,静安区,121.447336,31.314347,4
上海市静安区科技学校,静安区,121.45594,31.31447,4
上海市静安区阳曲路小学,静安区,121.455872,31.310844,4
上海市静安区永和小学,静安区,121.422398,31.296266,4
上海市闸北成功教育实验小学,静安区,121.433187,31.28649,4
上海市静安区止园路小学,静安区,121.465357,31.265147,4
上海市静安区和田路小学,静安区,121.455661,31.270264,4
上海市静安区中山北路小学,静安区,121.456709,31.261705,3
上海师范大学附属第二实验学校(小学),普陀区,121.399609,31.247427,4
上海市普陀区真如第三小学,普陀区,121.394618,31.259141,4
上海市宜川中学附属学校(小学),普陀区,121.441449,31.260581,4
上海市光新学校(小学),普陀区,121.425286,31.254738,4
上海市普陀区金沙江路小学,普陀区,121.393888,31.230262,4
上海市普陀区曹杨新村第六小学,普陀区,121.403377,31.237865,3
上海市虹口区凉城第四小学,虹口区,121.464991,31.304487,4
上海市虹口区凉城第二小学,虹口区,121.470634,31.298461,4
上海市虹口区丰镇第一小学,虹口区,121.474725,31.307306,4
上海市虹口区广中路小学,虹口区,121.472528,31.276332,4
上海市虹口区柳营路小学,虹口区,121.464616,31.273749,4
上海市虹口区多伦同心小学,虹口区,121.472789,31.269489,4
上海市虹口区祥德路小学,虹口区,121.484226,31.27248,4
上海市虹口区幸福四平实验小学,虹口区,121.489946,31.273132,4
上海市虹口区密云学校(小学),虹口区,121.490613,31.275521,4
上海市虹口区曲阳第四小学,虹口区,121.491296,31.284932,4
上海市静安区三泉路小学,静安区,121.434954,31.317346,4
上海市静安区共康小学,静安区,121.429543,31.318091,4
上海市静安区临汾路小学,静安区,121.438863,31.311649,4
上海市三泉学校（小学）,静安区,121.433308,31.308961,4
上海市闸北田家炳小学,静安区,121.434194,31.306144,3
上海市静安区第四中心小学,静安区,121.44205,31.309273,3
上海市静安区景凤路小学,静安区,121.453392,31.321393,4
上海市沙田学校(小学),普陀区,121.407524,31.240084,4
上海市杨浦区控江二村小学,杨浦区,121.523727,31.289167,1
上海市第二师范学校附属小学,杨浦区,121.495046,31.278559,1
上海市虹口区复兴实验小学,虹口区,121.467345,31.310602,4
上海外国语大学尚阳外国语学校(小学),普陀区,121.369101,31.262235,3
上海市普陀区树德小学,普陀区,121.383103,31.259794,4
上海市普陀区曹杨实验小学,普陀区,121.373559,31.249998,4
上海市普陀区明翔实验学校(小学),普陀区,121.390745,31.267068,4
上海市洛川学校(小学),普陀区,121.431219,31.261768,4
上海市普陀区平利路第一小学,普陀区,121.425696,31.273169,4
上海市普陀区教育学院附属学校(小学),普陀区,121.423157,31.263518,3
上海市铜川学校(小学),普陀区,121.387234,31.251916,4
上海市杨浦区齐齐哈尔路第一小学分校,杨浦区,121.512648,31.267785,2
上海市杨浦区凤城新村小学,杨浦区,121.513267,31.285027,3
上海市昆明学校(小学),杨浦区,121.5059,31.271498,4
上海市杨浦区政立路第二小学,杨浦区,121.50316,31.309112,3
上海市杨浦区怀德路第一小学,杨浦区,121.5213,31.25554,3
上海市杨浦区中原路小学,杨浦区,121.530569,31.329819,3
上海市杨浦区许昌路第五小学,杨浦区,121.507793,31.274063,3
上海市杨浦区平凉路第三小学,杨浦区,121.546979,31.277034,3
上海市杨浦区同济小学,杨浦区,121.504908,31.286405,3
上海市杨浦区六一小学,杨浦区,121.51759,31.307024,3
上海市文达学校(小学),普陀区,121.382569,31.29362,4
上海理工大学附属普陀实验学校（小学）,普陀区,121.428941,31.255821,4
上海市育鹰学校(小学),杨浦区,121.512912,31.292495,4
上海市杨浦区二联小学,杨浦区,121.523069,31.284916,3
上海市杨浦区杨浦小学分校,杨浦区,121.524805,31.270126,2
上海市杨浦区教育学院实验小学,杨浦区,121.52076,31.27834,3
上海市黄兴学校(小学),杨浦区,121.5204,31.287385,4
上海市市东实验学校（上海市市东中学）（小学）,杨浦区,121.513076,31.259566,3
上海市杨浦区杭州路第一小学,杨浦区,121.533745,31.258833,4
上海市杨浦区五角场小学,杨浦区,121.507968,31.302183,3
上海市杨浦区政立路小学,杨浦区,121.489011,31.310195,4
上海市杨浦区世界小学,杨浦区,121.514116,31.315732,4
上海市杨浦区回民小学,杨浦区,121.530632,31.303545,3
上海市杨浦区水丰路小学分校,杨浦区,121.528273,31.292423,4
上海市杨浦区中原路小学分校,杨浦区,121.521569,31.339564,4
上海市杨浦区控江二村小学分校,杨浦区,121.531933,31.275887,1
上海市杨浦区建设小学,杨浦区,121.539906,31.26794,4
上海市杨浦区内江路第二小学,杨浦区,121.5389,31.286545,3
上海市杨浦区平凉路第四小学,杨浦区,121.552074,31.280881,4
上海市杨浦区长白二村小学分校,杨浦区,121.537233,31.302619,4
上海市杨浦区翔殷路小学,杨浦区,121.533113,31.309374,4
上海市杨浦区工农新村小学,杨浦区,121.529935,31.325041,4
上海市市光学校(小学),杨浦区,121.534611,31.3229,4
上海市杨浦区市光新村第一小学,杨浦区,121.531371,31.319787,4
上海市杨浦区开鲁新村第一小学,杨浦区,121.525241,31.326188,4
上海市杨浦区国和小学,杨浦区,121.524727,31.323089,4
上海市杨浦区民星路小学,杨浦区,121.536612,31.315014,4
上海市杨浦区开鲁新村第二小学,杨浦区,121.524084,31.329127,4
上海市杨浦区内江路小学,杨浦区,121.544976,31.284283,4
上海市普陀区桃浦中心小学,普陀区,121.339551,31.291573,4
上海市普陀区联建小学,普陀区,121.346534,31.286765,4
上海市普陀区恒德小学,普陀区,121.342059,31.287818,4
"复旦大学第二附属学校
",杨浦区,121.50691,31.344762,2
上海市黄浦区北京东路小学,黄浦区,121.480508,31.242055,4
上海市奉贤区江海第一小学,奉贤区,121.450367,30.909147,3
上海市青浦区重固小学,青浦区,121.18134,31.200494,4
上海市嘉定区金鹤小学,嘉定区,121.307846,31.241656,4
上海市嘉定区华江小学,嘉定区,121.335108,31.266764,4
上海市嘉定区留云小学,嘉定区,121.317114,31.314221,4
上海市嘉定区古猗小学,嘉定区,121.320055,31.303561,4
宝山区广育小学,宝山区,121.48167,31.404495,2
宝山区上海大学附属中学实验学校(小学),宝山区,121.402781,31.284248,2
上海市三灶学校(小学),浦东新区,121.709445,31.073665,4
上海市闵行区江川路小学（北校区）,闵行区,121.411231,31.01907,2
闵行区田园外语实验小学(金都校区),闵行区,121.400571,31.077435,2
闵行区田园外语实验小学(银都校区),闵行区,121.390601,31.097598,2
闵行区莘庄镇小学(南校区),闵行区,121.371657,31.099915,2
闵行区莘庄镇小学(北校区),闵行区,121.372254,31.105744,2
上海市七宝实验小学,闵行区,121.378907,31.161561,2
闵行区实验小学(景城校区),闵行区,121.408213,31.109605,1
闵行区实验小学(春城校区),闵行区,121.401665,31.108765,1
闵行区七宝镇明强小学,闵行区,121.356525,31.155598,1
上海市浦东新区三桥小学,浦东新区,121.599799,31.233939,4
上海市浦东新区竹园小学(张杨校区),浦东新区,121.526169,31.233167,2
上海市浦东新区第二中心小学(张江校区),浦东新区,121.631108,31.201561,2
上海市浦东新区福山外国语小学(瑞华校区),浦东新区,121.524356,31.23692,1
尚博实验小学[昌里校区],浦东新区,121.509597,31.181098,4
上海市浦东新区明珠小学(B区),浦东新区,121.520807,31.225463,1
上海市浦东新区明珠小学(A区),浦东新区,121.514033,31.227776,1
杨泰实验学校(小学),宝山区,121.435269,31.368781,2
宝山区虎林路小学,宝山区,121.447755,31.344691,2
宝山区红星小学,宝山区,121.451716,31.336612,2
宝山区和衷小学,宝山区,121.494945,31.384747,2
上海世外教育附属宝山大华实验学校,宝山区,121.403895,31.295252,4
宝山区实验小学,宝山区,121.485749,31.412987,1
宝山区第一中心小学,宝山区,121.492035,31.396861,1
闵行区航华第一小学,闵行区,121.34631,31.181324,2
闵行区平阳小学,闵行区,121.386361,31.137188,2
上海中医药大学附属闵行蔷薇小学(蔷薇校区),闵行区,121.427829,31.10923,2
上海师范大学康城实验学校(小学),闵行区,121.351302,31.102804,2
上海市闵行区中心小学,闵行区,121.423068,31.006964,2
上海市闵行区华坪小学,闵行区,121.418076,31.003614,2
闵行区平南小学（平吉校区）,闵行区,121.377132,31.143381,2
闵行区平南小学（平南校区）,闵行区,121.388047,31.155936,2
上海市浦东新区昌邑小学(陆家嘴校区),浦东新区,121.511328,31.232204,2
上海市浦东新区福山花园外国语小学,浦东新区,121.537433,31.23135,4
上海市浦东新区梅园小学,浦东新区,121.51926,31.241876,4
上海市洋泾-菊园实验学校(小学),浦东新区,121.507103,31.230036,3
上海市实验学校东校(碧云校区)(小学),浦东新区,121.569744,31.235584,2
上海市嘉定区真新小学,嘉定区,121.367236,31.255163,4
上海市嘉定区卢湾一中心实验小学,嘉定区,121.324077,31.271364,4
上海市嘉定区绿地小学,嘉定区,121.362997,31.249122,4
上海市嘉定区望新小学,嘉定区,121.141466,31.349074,4
上海师范大学附属嘉定小学,嘉定区,121.414158,31.163887,4
闵行区黎明小学,闵行区,121.344766,31.149141,4
上海市闵行区文来实验学校(小学),闵行区,121.303458,31.206334,3
上海市莘城学校(小学),闵行区,121.384896,31.101619,3
上海市古美学校(小学),闵行区,121.396671,31.144027,4
上海市日新实验小学,闵行区,121.381574,31.155841,3
闵行区实验小学(莘松校区),闵行区,121.366806,31.158654,1
华师大闵行永德实验小学,闵行区,121.440524,31.043662,4
上海市民办万源城协和双语学校（小学公办班）,闵行区,121.391508,31.146177,3
上海市浦东新区凌桥小学(江东路校区),浦东新区,121.537891,31.366884,4
上海市嘉定区城中路小学,嘉定区,121.237485,31.387484,4
上海市嘉定区迎园小学,嘉定区,121.260529,31.387094,3
上海市嘉定区金鹤学校（小学部）(小学),嘉定区,121.312896,31.248667,4
上海市嘉定区练川实验学校(小学),嘉定区,121.262358,31.380355,3
上海市嘉定区新成路小学,嘉定区,121.269609,31.385933,4
上海市嘉定区南翔小学,嘉定区,121.304315,31.301684,3
上海市嘉定区疁城实验学校(小学),嘉定区,121.239279,31.3812,3
上海市嘉定区戬浜学校(小学),嘉定区,121.288351,31.382214,4
上海市浦东新区第二中心小学(巨野校区),浦东新区,121.545184,31.238374,2
上海市浦东新区进才实验小学,浦东新区,121.556944,31.232272,2
宝山区嘉华小学,宝山区,121.411317,31.270523,4
宝山区大华小学,宝山区,121.418869,31.278348,4
上海师范大学附属经纬实验学校(小学),宝山区,121.396759,31.327441,3
教育学会宝山实验学校(小学),宝山区,121.469207,31.324322,3
宝山区高境科创实验小学,宝山区,121.476192,31.320744,4
宝山区杨行中心校,宝山区,121.438326,31.375163,3
上海市金山区教师进修学院附属小学,金山区,121.342648,30.711339,3
上海市嘉定区新城实验小学,嘉定区,121.24754,31.32947,4
上海市嘉定区德富路小学,嘉定区,121.246887,31.357621,4
上海市嘉定区第一中学附属小学,嘉定区,121.243219,31.393246,4
上海市嘉定新城南社区筹建校（小学部）,嘉定区,121.251037,31.332136,4
上海市嘉定区普通小学白银路分校,嘉定区,121.233394,31.350215,1
上海市嘉定区实验小学,嘉定区,121.24831,31.400595,2
上海市浦东新区昌邑小学(大华校区),浦东新区,121.533005,31.183203,2
上海市第六师范附属小学(羽山校区),浦东新区,121.556429,31.241647,1
上海市浦东新区塘桥第一小学,浦东新区,121.518436,31.211611,4
上海市浦东新区浦东南路小学(浦南校区),浦东新区,121.522233,31.202852,3
宝山区宝林路第三小学,宝山区,121.487452,31.408281,4
上海市莘光学校(小学),闵行区,121.379064,31.118563,4
上海市明星学校(小学),闵行区,121.370838,31.132284,3
上海市闵行区华漕学校(小学),闵行区,121.305714,31.219162,3
闵行区新梅小学,闵行区,121.382873,31.126492,3
上海师范大学附属闵行第三小学,闵行区,121.483908,31.105541,4
闵行区实验小学(畹町校区),闵行区,121.39808,31.114089,1
闵行区梅陇中心小学,闵行区,121.403034,31.128725,4
闵行区龙柏第一小学,闵行区,121.360466,31.185127,3
上海市金汇实验学校(小学),闵行区,121.3721,31.183796,4
宝山区行知小学,宝山区,121.409002,31.284094,4
宝山区江湾中心校,宝山区,121.48248,31.316993,4
上海世外教育附属宝山中环实验小学,宝山区,121.400888,31.291909,2
